state,town,url
MI,"ada_township%2C_(kent_co.)""","https://library.municode.com/mi/ada_township%2C_(kent_co.)"""
MI,"ada_township%2C_(kent_co.)"">Ada","https://library.municode.com/mi/ada_township%2C_(kent_co.)"">Ada"
MI,"addison_township%2C_(oakland_co.)""","https://library.municode.com/mi/addison_township%2C_(oakland_co.)"""
MI,"addison_township%2C_(oakland_co.)"">Addison","https://library.municode.com/mi/addison_township%2C_(oakland_co.)"">Addison"
MI,"adrian""","https://library.municode.com/mi/adrian"""
MI,a>,"https://library.municode.com/mi/adrian"">Adrian</a>"
MI,"albion""","https://library.municode.com/mi/albion"""
MI,a>,"https://library.municode.com/mi/albion"">Albion</a>"
MI,"algonac""","https://library.municode.com/mi/algonac"""
MI,a>,"https://library.municode.com/mi/algonac"">Algonac</a>"
MI,"allegan""","https://library.municode.com/mi/allegan"""
MI,a>,"https://library.municode.com/mi/allegan"">Allegan</a>"
MI,"allen_park""","https://library.municode.com/mi/allen_park"""
MI,"allen_park"">Allen","https://library.municode.com/mi/allen_park"">Allen"
MI,"alma""","https://library.municode.com/mi/alma"""
MI,a>,"https://library.municode.com/mi/alma"">Alma</a>"
MI,"alpena""","https://library.municode.com/mi/alpena"""
MI,a>,"https://library.municode.com/mi/alpena"">Alpena</a>"
MI,"ann_arbor""","https://library.municode.com/mi/ann_arbor"""
MI,"ann_arbor"">Ann","https://library.municode.com/mi/ann_arbor"">Ann"
MI,"ann_arbor_charter_township%2C_(washtenaw_co.)""","https://library.municode.com/mi/ann_arbor_charter_township%2C_(washtenaw_co.)"""
MI,"ann_arbor_charter_township%2C_(washtenaw_co.)"">Ann","https://library.municode.com/mi/ann_arbor_charter_township%2C_(washtenaw_co.)"">Ann"
MI,"armada""","https://library.municode.com/mi/armada"""
MI,a>,"https://library.municode.com/mi/armada"">Armada</a>"
MI,"atlas_township%2C_(genesee_co.)""","https://library.municode.com/mi/atlas_township%2C_(genesee_co.)"""
MI,"atlas_township%2C_(genesee_co.)"">Atlas","https://library.municode.com/mi/atlas_township%2C_(genesee_co.)"">Atlas"
MI,"auburn_hills""","https://library.municode.com/mi/auburn_hills"""
MI,"auburn_hills"">Auburn","https://library.municode.com/mi/auburn_hills"">Auburn"
MI,"aurelius_township%2C_(ingham_co.)""","https://library.municode.com/mi/aurelius_township%2C_(ingham_co.)"""
MI,"aurelius_township%2C_(ingham_co.)"">Aurelius","https://library.municode.com/mi/aurelius_township%2C_(ingham_co.)"">Aurelius"
MI,"bad_axe""","https://library.municode.com/mi/bad_axe"""
MI,"bad_axe"">Bad","https://library.municode.com/mi/bad_axe"">Bad"
MI,"baldwin_township%2C_(iosco_co.)""","https://library.municode.com/mi/baldwin_township%2C_(iosco_co.)"""
MI,"baldwin_township%2C_(iosco_co.)"">Baldwin","https://library.municode.com/mi/baldwin_township%2C_(iosco_co.)"">Baldwin"
MI,"bangor""","https://library.municode.com/mi/bangor"""
MI,a>,"https://library.municode.com/mi/bangor"">Bangor</a>"
MI,"bath_charter_township%2C_(clinton_co.)""","https://library.municode.com/mi/bath_charter_township%2C_(clinton_co.)"""
MI,"bath_charter_township%2C_(clinton_co.)"">Bath","https://library.municode.com/mi/bath_charter_township%2C_(clinton_co.)"">Bath"
MI,"bay_city""","https://library.municode.com/mi/bay_city"""
MI,"bay_city"">Bay","https://library.municode.com/mi/bay_city"">Bay"
MI,"bay_county""","https://library.municode.com/mi/bay_county"""
MI,"bay_county"">Bay","https://library.municode.com/mi/bay_county"">Bay"
MI,"bedford_township%2C_(monroe_co.)""","https://library.municode.com/mi/bedford_township%2C_(monroe_co.)"""
MI,"bedford_township%2C_(monroe_co.)"">Bedford","https://library.municode.com/mi/bedford_township%2C_(monroe_co.)"">Bedford"
MI,"belding""","https://library.municode.com/mi/belding"""
MI,a>,"https://library.municode.com/mi/belding"">Belding</a>"
MI,"benton_charter_township%2C_(berrien_co.)""","https://library.municode.com/mi/benton_charter_township%2C_(berrien_co.)"""
MI,"benton_charter_township%2C_(berrien_co.)"">Benton","https://library.municode.com/mi/benton_charter_township%2C_(berrien_co.)"">Benton"
MI,"berkley""","https://library.municode.com/mi/berkley"""
MI,a>,"https://library.municode.com/mi/berkley"">Berkley</a>"
MI,"berlin_charter_township%2C_(monroe_co.)""","https://library.municode.com/mi/berlin_charter_township%2C_(monroe_co.)"""
MI,"berlin_charter_township%2C_(monroe_co.)"">Berlin","https://library.municode.com/mi/berlin_charter_township%2C_(monroe_co.)"">Berlin"
MI,"berrien_springs""","https://library.municode.com/mi/berrien_springs"""
MI,"berrien_springs"">Berrien","https://library.municode.com/mi/berrien_springs"">Berrien"
MI,"bertrand_township%2C_(berrien_co.)""","https://library.municode.com/mi/bertrand_township%2C_(berrien_co.)"""
MI,"bertrand_township%2C_(berrien_co.)"">Bertrand","https://library.municode.com/mi/bertrand_township%2C_(berrien_co.)"">Bertrand"
MI,"birmingham""","https://library.municode.com/mi/birmingham"""
MI,a>,"https://library.municode.com/mi/birmingham"">Birmingham</a>"
MI,"blissfield""","https://library.municode.com/mi/blissfield"""
MI,a>,"https://library.municode.com/mi/blissfield"">Blissfield</a>"
MI,"bloomfield_charter_township%2C_(oakland_co.)""","https://library.municode.com/mi/bloomfield_charter_township%2C_(oakland_co.)"""
MI,"bloomfield_charter_township%2C_(oakland_co.)"">Bloomfield","https://library.municode.com/mi/bloomfield_charter_township%2C_(oakland_co.)"">Bloomfield"
MI,"bloomfield_hills""","https://library.municode.com/mi/bloomfield_hills"""
MI,"bloomfield_hills"">Bloomfield","https://library.municode.com/mi/bloomfield_hills"">Bloomfield"
MI,"boyne_city""","https://library.municode.com/mi/boyne_city"""
MI,"boyne_city"">Boyne","https://library.municode.com/mi/boyne_city"">Boyne"
MI,"brandon_charter_township%2C_(oakland_co.)""","https://library.municode.com/mi/brandon_charter_township%2C_(oakland_co.)"""
